Spanish,English,French,Chinese,Topic,Sub-topic,AudioOK,ImageOK,EnglishAudio,SpanishAudio,Image,Original image name,Copyright (if any),Missing,Existing,New,Comments,frenchaudio,chineseaudio
la pescadería,fish market,,海鲜市场,Conversation,Shopping,✓,✓,oas_eng_fish_market,oas_spa_la_pescaderia,pescaderia,shutterstock_83567137,,,,X,,,
el (gran) almacén,department store,,百货商店,Conversation,Shopping,✓,x,oas_eng_department_store,oas_spa_el_(gran)_almacen,almacenes,,,,X,,,,
la floristería,florist,,花店,Conversation,Shopping,✓,✓,oas_eng_florist,oas_spa_la_floristeria,floristeria,shutterstock_449071993,,,,X,,,
la tienda de comestibles,grocery store,,杂货店,Conversation,Shopping,✓,✓,oas_eng_grocery_store,oas_spa_la_tienda_de_comestibles,tienda_de_comestibles,shutterstock_143885011,,,,X,,,
la ferretería,hardware store,,五金店,Conversation,Shopping,✓,✓,oas_eng_hardware_store,oas_spa_la_ferreteria,ferreteria,shutterstock_209131660,,,,X,,,
la joyería,jewelry store,,珠宝店,Conversation,Shopping,✓,x,oas_eng_jewelry_store,oas_spa_la_joyeria,joyeria,shutterstock_258518573,,,,X,,,
viernes,Friday,,星期五,Time,Days,✓,x (pixelada),oas_eng_friday,oas_spa_viernes,viernes,,,,X,,,,
el mercado al aire libre,open-air market,,露天集市,Conversation,Shopping,✓,✓,oas_eng_open-air_market,oas_spa_el_mercado_al_aire_libre,mercado_al_aire_libre,shutterstock_17206642,,,,X,,,
la zapatería,shoe store,,鞋店,Conversation,Shopping,✓,x,oas_eng_shoe_store,oas_spa_la_zapateria,zapateria,shutterstock_160349570,,,,X,,,
el vino,wine,,红酒,Food,Drink,✓,x (pixelada),oas_eng_wine,oas_spa_el_vino,vino,,,,X,,,,
las actividades,activities,,活动,Activities,,NA,NA,oas_eng_activities,oas_spa_las_actividades,activities,shutterstock_69520627,,,,X,,,
el ciclismo,bicycling,,骑自行车,Activities,,✓,✓,oas_eng_bicycling,oas_spa_el_ciclismo,ciclismo,shutterstock_225069496,,,,X,,,
el motociclismo,motorcycling,,骑摩托车,Activities,,✓,x,oas_eng_motorcycling,oas_spa_el_motociclismo,motorciclismo,shutterstock_281683259,,,,X,,,
el baile,dancing,,跳舞,Activities,,✓,✓,oas_eng_dancing,oas_spa_el_baile,baile,shutterstock_131840108,,,,X,,,
el senderismo,hiking,,登山,Activities,,✓,✓,oas_eng_hiking,oas_spa_el_senderismo,camping,shutterstock_458498518,,,,X,,,
el cámping,camping,,野营,Activities,,✓,✓ (esta imagen está repetida en senderismo),oas_eng_camping,oas_spa_el_camping,camping,shutterstock_458498518,,,,X,,,
la navegación a vela,sailing,,帆船,Activities,,✓,x,oas_eng_sailing,oas_spa_la_navegacion_a_vela,,,,,X,,,,
el paseo en barco,boating,,划船,Activities,,✓,x,oas_eng_boating,oas_spa_el_paseo_en_barco,,,,,X,,,,
la zanahoria,carrot,,胡萝卜,Food,Names,✓,x (pixelada),oas_eng_carrot,oas_spa_la_zanahoria,zanahoria,shutterstock_138247652,,,,X,,,
los zapatos,shoes,,鞋,Clothing,,✓,x (pixelada),oas_eng_shoes,oas_spa_los_zapatos,zapatos,,,,X,,,,
la natación,swimming,,游泳,Activities,,✓,✓,oas_eng_swimming,oas_spa_la_natacion,natacion,,,,X,,,,
el submarinismo,scuba diving,,潜水,Activities,,✓,x (esta repetida en swimming),oas_eng_scuba_diving,oas_spa_el_submarinismo,natacion,,,,X,,,,
